N,dynamic,static
2,24.470588235294116,43.0
3,34.35294117647059,32.94117647058823
4,36.294117647058826,31.705882352941178
5,19.176470588235293,30.11764705882353
6,21.235294117647058,29.647058823529413
7,20.23529411764706,30.0
8,23.176470588235293,30.705882352941178
9,22.176470588235293,34.470588235294116
10,27.647058823529413,30.235294117647058
11,35.0,29.941176470588236
12,31.058823529411764,31.058823529411764
13,30.88235294117647,30.647058823529413
14,38.88235294117647,54.0
15,38.000000000000014,46.23529411764706
16,47.470588235294116,57.1764705882353
17,48.76470588235294,66.35294117647058
18,56.05882352941177,72.41176470588235
19,52.94117647058823,94.88235294117646
20,74.76470588235294,132.94117647058823
21,72.58823529411765,124.88235294117649
22,81.94117647058823,155.35294117647058
23,87.82352941176471,91.1764705882353
24,103.17647058823529,143.1764705882353
25,95.0,137.76470588235293
26,117.05882352941177,115.52941176470588
27,109.3529411764706,205.8235294117647
28,125.82352941176471,231.76470588235293
29,128.2941176470588,257.1764705882353
30,132.88235294117646,231.41176470588235
31,143.64705882352942,224.8235294117647
32,146.76470588235296,249.23529411764707
33,155.94117647058823,339.4117647058824
34,175.47058823529412,232.1764705882353
35,171.58823529411765,405.5882352941176
36,188.0,380.1764705882353
37,191.11764705882354,306.7647058823529
38,209.52941176470588,250.2941176470588
39,210.94117647058823,405.47058823529414
40,225.0,424.47058823529414
41,239.8235294117647,411.4117647058824
42,249.52941176470588,580.8823529411764
43,260.1764705882353,459.8235294117647
44,278.29411764705884,505.6470588235294
45,277.05882352941177,471.11764705882354
46,310.7647058823529,535.7647058823529
47,306.88235294117646,530.1764705882352
48,342.88235294117646,634.1764705882352
49,336.11764705882354,565.0588235294117
50,365.94117647058823,794.2941176470588
51,371.6470588235294,662.0
52,396.52941176470586,742.4705882352941
53,391.0,950.4117647058823
54,424.2352941176471,978.8235294117648
55,444.88235294117646,1102.1176470588234
56,449.29411764705884,1089.1176470588234
57,460.1764705882353,1161.3529411764705
58,502.29411764705884,1281.0588235294117
59,498.52941176470586,992.1764705882352
60,537.1176470588235,1567.8235294117646
61,548.8823529411765,1374.235294117647
62,569.5882352941177,1480.8823529411766
63,572.4117647058822,1317.5882352941176
64,598.8235294117648,1231.0
65,620.5294117647059,1509.6470588235295
66,645.0588235294117,1561.8823529411766
67,633.7058823529412,1305.9411764705883
68,646.4705882352941,1459.1176470588234
69,650.6470588235294,1872.764705882353
70,693.1176470588235,1780.5294117647059
71,703.0588235294117,1644.1176470588234
72,740.7058823529412,2082.529411764706
73,748.0,2111.176470588235
74,775.1764705882352,1853.5882352941176
75,777.0,2224.470588235294
76,827.8823529411765,2280.4117647058824
77,820.7647058823529,2210.7058823529405
78,863.9411764705883,2095.823529411765
79,868.8235294117648,2366.0
80,915.8235294117648,2142.705882352941
81,929.7058823529412,2199.0588235294117
82,954.5294117647059,2295.0
83,974.8235294117648,2214.8823529411766
84,1020.4705882352941,2632.8823529411766
85,1011.3529411764706,2666.235294117647
86,1045.5882352941176,2048.5882352941176
87,1075.235294117647,2450.764705882353
88,1117.9411764705883,2728.176470588235
89,1115.8823529411766,2275.235294117647
90,1151.3529411764705,2643.5882352941176
91,1172.1176470588234,2593.2352941176473
92,1191.2941176470588,2719.9411764705883
93,1244.0588235294117,2486.5882352941176
94,1279.764705882353,3367.1176470588234
95,1284.8823529411766,3250.529411764706
96,1325.9411764705883,3225.294117647059
97,1296.5294117647059,2743.235294117647
98,1379.764705882353,3653.6470588235293
99,1413.9411764705883,3270.4117647058824
100,1425.7058823529412,3755.8823529411766
